treatment,maxneg,maxneggene,smaxneg,smaxneggene,smaxpos,smaxposgene,maxpos,maxposgene
BRD-K12534150:10 uM:1,-0.287394707282586,PMEL (ENSG00000185664),-0.259026953609292,RPS3AP35 (ENSG00000244289),0.250845647901802,GALNT10 (ENSG00000164574),0.254863458302117,AHNAK2 (ENSG00000185567)
BRD-A66402231:3.333 uM:1,-0.256454469326889,SLC25A15P5 (ENSG00000249288),-0.249870559222644,AL121872.1 (ENSG00000225012),0.162111999787771,TPP2 (ENSG00000134900),0.163726711052135,AC013562.1 (ENSG00000253726)
BRD-K03693358:1.111 uM:1,-0.222455995140879,TPI1 (ENSG00000111669),-0.221550788910629,RECQL (ENSG00000004700),0.2701930232793,ABLIM2 (ENSG00000163995),0.275948587300411,LRRC37A3 (ENSG00000176809)
BRD-A29714518:3.333 uM:1,-0.27318650120769,AC023813.1 (ENSG00000259912),-0.2666758089589,AC074344.1 (ENSG00000248552),0.186642789470551,TCN2 (ENSG00000185339),0.203337960705892,FP236241.1 (ENSG00000277991)
BRD-K10976972:3.333 uM:1,-0.205604955763637,AL590490.1 (ENSG00000233519),-0.196813469000824,MTCO2P9 (ENSG00000249386),0.251438931783799,AL139125.2 (ENSG00000278982),0.252537933052701,RN7SL415P (ENSG00000240961)
BRD-A26895417:3.333 uM:1,-0.188818688040084,DNAI1 (ENSG00000122735),-0.18570815738833,LCMT1-AS2 (ENSG00000260034),0.182188139855851,TDGF1P1 (ENSG00000227988),0.183222431882076,HNRNPCP9 (ENSG00000232048)
BRD-K40747468:10 uM:1,-0.203454340542948,AC009495.1 (ENSG00000229195),-0.202432452628689,AC140878.1 (ENSG00000259822),0.231276482159654,S100A3 (ENSG00000188015),0.244825629144615,LINC01411 (ENSG00000249306)
BRD-K98887317:3.333 uM:1,-0.279320135493327,IGHV2-70D (ENSG00000211974),-0.214252870298661,ATP6V1G1P4 (ENSG00000233343),0.191367909369851,FO393418.1 (ENSG00000223695),0.192084733632597,AC104806.1 (ENSG00000250030)
BRD-A66402231:10 uM:1,-0.188107855704926,AL157788.1 (ENSG00000229272),-0.185604123327287,AC006349.1 (ENSG00000258513),0.164937836797203,CRYBA1 (ENSG00000108255),0.183795765940054,AC008155.1 (ENSG00000213237)
BRD-K25223096:5 uM:1,-0.286232930896287,CA14 (ENSG00000118298),-0.280734964623904,SNCA-AS1 (ENSG00000247775),0.34319956437258,TICAM2 (ENSG00000243414),0.355207845500297,ITGA3 (ENSG00000005884)
